,Unnamed: 0_x,ID_x,Date,Active_cases,Active_cases_new,Confirmed_cases,Confirmed_cases_new,Death_cases,Death_cases_new,Hospitalized_cases,Hospitalized_cases_new,Unnamed: 0_y,ID_y,DoseType,DoseValue,Vax_Partial,Vax_Full,Unnamed: 0,SLP,PS,H,T,U,V,QV,O3
76,11924877,IT,2020-03-19,33190.0,4480.0,41035.0,5322.0,3405.0,427.0,18255.0,1635.0,0.0,0,0,0.0,0.0,0.0,18.0,102397.85839692982,99096.32403508772,18485.53071788821,241.9260559406328,3.726859614299641,-0.1572504247010553,0.0009869900996176,3.1776073581297384e-06
77,11924904,IT,2020-03-20,37860.0,4670.0,47021.0,5986.0,4032.0,627.0,18675.0,420.0,0.0,0,0,0.0,0.0,0.0,19.0,102132.9100263158,98827.94770394736,18448.26380217033,241.58772673780803,6.559100373871236,1.6322045888164425,0.0010457438935258,3.1512915710716635e-06
78,11924931,IT,2020-03-21,42681.0,4821.0,53578.0,6557.0,4825.0,793.0,20565.0,1890.0,0.0,0,0,0.0,0.0,0.0,20.0,101500.74893859647,98205.54601480265,18392.61294550923,240.54359000443824,6.540332914455247,2.261509696402081,0.0012332465449903,3.129637064861529e-06
79,11924958,IT,2020-03-22,46638.0,3957.0,59138.0,5560.0,5476.0,651.0,22855.0,2290.0,0.0,0,0,0.0,0.0,0.0,21.0,101456.64541557018,98127.94771875,18394.307242418912,240.14099800073103,5.768561242561869,0.3384566693355106,0.0013672558182249,3.170676004887205e-06
80,11924985,IT,2020-03-23,50418.0,3780.0,63927.0,4789.0,6077.0,601.0,23896.0,1041.0,0.0,0,0,0.0,0.0,0.0,22.0,102014.9963125,98619.35935416666,18414.70480792052,239.74032960787383,7.183801489741555,-3.0828134214102216,0.0010174933233835,3.234481672077485e-06
81,11925012,IT,2020-03-24,54030.0,3612.0,69176.0,5249.0,6820.0,743.0,25333.0,1437.0,0.0,0,0,0.0,0.0,0.0,23.0,102062.40085964912,98632.75615460526,18392.99508444569,238.7994697282268,6.992094490457521,-2.947917308915032,0.0008035176095914,3.263740652797097e-06
82,11925039,IT,2020-03-25,57521.0,3491.0,74386.0,5210.0,7503.0,683.0,26601.0,1268.0,0.0,0,0,0.0,0.0,0.0,24.0,101443.30968366229,98026.55882785088,18350.54390437213,238.2551480435464,1.6299484881192994,1.4241334513664698,0.0009769782807806,3.264403432418337e-06
83,11925066,IT,2020-03-26,62013.0,4492.0,80539.0,6153.0,8165.0,662.0,28365.0,1764.0,0.0,0,0,0.0,0.0,0.0,25.0,100872.58578234648,97526.98772752192,18343.74628340284,238.15838157124583,-0.0352558098348369,2.97386484222409,0.0011534874054111,3.272292868645781e-06
84,11925093,IT,2020-03-27,66414.0,4401.0,86498.0,5959.0,9134.0,969.0,29761.0,1396.0,0.0,0,0,0.0,0.0,0.0,26.0,101107.92558333332,97801.61889802633,18382.781618099925,239.55024025310672,2.6136067160330523,3.1603924200894293,0.0012485636270453,3.299015779030506e-06
85,11925120,IT,2020-03-28,70065.0,3651.0,92472.0,5974.0,10023.0,889.0,30532.0,771.0,0.0,0,0,0.0,0.0,0.0,27.0,101406.97984046052,98092.25208059212,18414.99780891381,240.17658891147136,6.6273991249382345,1.7527615423441527,0.0012172783570953,3.284906443701663e-06
86,11925147,IT,2020-03-29,73880.0,3815.0,97689.0,5217.0,10779.0,756.0,31292.0,760.0,0.0,0,0,0.0,0.0,0.0,28.0,101355.52697916668,98031.99532620612,18396.16094398145,240.1800825253237,9.394560847687789,1.6878968424792902,0.0012145924947892,3.248899957949039e-06
87,11925174,IT,2020-03-30,75528.0,1648.0,101739.0,4050.0,11591.0,812.0,31776.0,484.0,0.0,0,0,0.0,0.0,0.0,29.0,101355.05494407896,98014.88526315788,18357.589083799103,239.9670029921157,10.39604578470393,2.2446343791082035,0.0012575956825522,3.232647014783717e-06
88,11925201,IT,2020-03-31,77635.0,2107.0,105792.0,4053.0,12428.0,837.0,32215.0,439.0,0.0,0,0,0.0,0.0,0.0,30.0,101703.30480811404,98327.02665679825,18378.9157163068,240.23426071924604,13.71597616791257,0.0599571849606893,0.0011313872896735,3.2307286642088945e-06
89,11925228,IT,2020-04-01,80572.0,2937.0,110574.0,4782.0,13155.0,727.0,32438.0,223.0,0.0,0,0,0.0,0.0,0.0,0.0,101661.78484594298,98308.9339183114,18395.43379959798,240.25579471295427,14.35349835127752,-1.525065008553944,0.0009489971365587,3.187103092072917e-06
90,11925255,IT,2020-04-02,83049.0,2477.0,115242.0,4668.0,13915.0,760.0,32593.0,155.0,0.0,0,0,0.0,0.0,0.0,1.0,101349.31769298244,98034.75988377193,18385.280650941186,240.2253439198256,13.728929913822634,0.4611693325345771,0.0010233522832956,3.1402768003640483e-06
91,11925282,IT,2020-04-03,85388.0,2339.0,119827.0,4585.0,14681.0,766.0,32809.0,216.0,0.0,0,0,0.0,0.0,0.0,2.0,101188.90955866229,97866.3159375,18400.81292009918,240.42817270493944,12.415410412770234,1.858207106865858,0.0011472873548194,3.1682942533068216e-06
92,11925309,IT,2020-04-04,88274.0,2886.0,124632.0,4805.0,15362.0,681.0,33004.0,195.0,0.0,0,0,0.0,0.0,0.0,3.0,101637.05547916668,98303.9309517544,18490.41063730892,241.68567737050964,9.85081258283562,-2.639133912776052,0.000969204433829,3.1745234574061194e-06
93,11925336,IT,2020-04-05,91246.0,2972.0,128948.0,4316.0,15887.0,525.0,32926.0,-78.0,0.0,0,0,0.0,0.0,0.0,4.0,101951.89339144736,98645.13186348684,18563.363820579143,242.64794349075817,7.367594404816273,-2.8099516750935742,0.0009029080822717,3.193034233538482e-06
